Date,Ativo,Retorno_Diario
2017-03-10,BBAS3.SA,0.003873637485609871
2017-03-13,BBAS3.SA,0.010685798579591177
2017-03-14,BBAS3.SA,-0.001997658342220987
2017-03-15,BBAS3.SA,0.00825673048272102
2017-03-16,BBAS3.SA,-0.01345402761500536
2017-03-17,BBAS3.SA,-0.027275644453952252
2017-03-20,BBAS3.SA,-0.0018291816145967754
2017-03-21,BBAS3.SA,-0.02381655271136851
2017-03-22,BBAS3.SA,0.03378161833787385
2017-03-23,BBAS3.SA,0.0
2017-03-24,BBAS3.SA,0.004538889880206787
2017-03-27,BBAS3.SA,0.0033132875769863457
2017-03-28,BBAS3.SA,-0.006304652745629635
2017-03-29,BBAS3.SA,0.03625401613381074
2017-03-30,BBAS3.SA,-0.006705440069302737
2017-03-31,BBAS3.SA,-0.00880589804702192
2017-04-03,BBAS3.SA,0.002961411914892187
2017-04-04,BBAS3.SA,0.003838530986531863
2017-04-05,BBAS3.SA,-0.017059321110777015
2017-04-06,BBAS3.SA,-0.023339077883566484
2017-04-07,BBAS3.SA,-0.004289487936880665
2017-04-10,BBAS3.SA,0.008923560058925473
2017-04-11,BBAS3.SA,0.0009147161980318508
2017-04-12,BBAS3.SA,-0.01645340814272389
2017-04-13,BBAS3.SA,-0.05204473006910515
2017-04-17,BBAS3.SA,0.046405566754670335
2017-04-18,BBAS3.SA,0.009681468935733406
2017-04-19,BBAS3.SA,-0.036498537203954795
2017-04-20,BBAS3.SA,0.008025206082800329
2017-04-24,BBAS3.SA,0.028662358915389374
2017-04-25,BBAS3.SA,0.006191937555705351
2017-04-26,BBAS3.SA,-0.011999495322848941
2017-04-27,BBAS3.SA,0.014014289559998838
2017-04-28,BBAS3.SA,0.008906349986769646
2017-05-02,BBAS3.SA,0.03165904932119257
2017-05-03,BBAS3.SA,-0.003245934294484276
2017-05-04,BBAS3.SA,-0.04203670295555162
2017-05-05,BBAS3.SA,0.02317693123113984
2017-05-08,BBAS3.SA,-0.02506791928659402
2017-05-09,BBAS3.SA,0.0037176610915108377
2017-05-10,BBAS3.SA,0.029320476346167856
2017-05-11,BBAS3.SA,0.03118462113133247
2017-05-12,BBAS3.SA,0.029078670962571884
2017-05-15,BBAS3.SA,-0.018084717208231127
2017-05-16,BBAS3.SA,0.0
2017-05-17,BBAS3.SA,-0.027049853030280957
2017-05-18,BBAS3.SA,-0.1990536543794429
2017-05-19,BBAS3.SA,0.03323490703727505
2017-05-22,BBAS3.SA,-0.04646227284420734
2017-05-23,BBAS3.SA,0.023510091067480587
2017-05-24,BBAS3.SA,0.017699024883618186
2017-05-25,BBAS3.SA,0.003985703829309628
2017-05-26,BBAS3.SA,0.04150137933154441
2017-05-29,BBAS3.SA,0.0
2017-05-30,BBAS3.SA,0.004850610655927623
2017-05-31,BBAS3.SA,-0.022758713518090223
2017-06-01,BBAS3.SA,-0.01058535966494778
2017-06-02,BBAS3.SA,0.0014268032903153038
2017-06-05,BBAS3.SA,-0.017094487417640747
2017-06-06,BBAS3.SA,0.03659429205280351
2017-06-07,BBAS3.SA,0.004194085614659171
2017-06-08,BBAS3.SA,-0.014966660712566138
2017-06-09,BBAS3.SA,-0.016254165356854866
2017-06-12,BBAS3.SA,-0.023707235375489466
2017-06-13,BBAS3.SA,0.011016792766193051
2017-06-14,BBAS3.SA,-0.00036472988373792425
2017-06-16,BBAS3.SA,0.0036510641569391655
2017-06-19,BBAS3.SA,-0.013095901666761556
2017-06-20,BBAS3.SA,-0.04165129139656054
2017-06-21,BBAS3.SA,-0.005384677581445452
2017-06-22,BBAS3.SA,0.0054138293067431675
2017-06-23,BBAS3.SA,-0.01999995140548172
2017-06-26,BBAS3.SA,0.05847753574565351
2017-06-27,BBAS3.SA,-0.03225835206119232
2017-06-28,BBAS3.SA,0.01111152721358355
2017-06-29,BBAS3.SA,0.006441563588438948
2017-06-30,BBAS3.SA,0.009035973633839678
2017-07-03,BBAS3.SA,0.013805839535925513
2017-07-04,BBAS3.SA,0.005152866721702676
2017-07-05,BBAS3.SA,-0.005126450803954463
2017-07-06,BBAS3.SA,-0.006624717613758269
2017-07-07,BBAS3.SA,-0.01333863956630188
2017-07-10,BBAS3.SA,0.01051497687357461
2017-07-11,BBAS3.SA,0.041991730456736764
2017-07-12,BBAS3.SA,0.028530297835041463
2017-07-13,BBAS3.SA,0.009015753610654986
2017-07-14,BBAS3.SA,0.010652971898089891
2017-07-17,BBAS3.SA,-0.005100917192525367
2017-07-18,BBAS3.SA,0.0006839891542889109
2017-07-19,BBAS3.SA,0.003415330757946089
2017-07-20,BBAS3.SA,0.008849324953846827
2017-07-21,BBAS3.SA,-0.007759433925959902
2017-07-24,BBAS3.SA,-0.011220884153808952
2017-07-25,BBAS3.SA,0.016506240287642582
2017-07-26,BBAS3.SA,-0.024357609594372498
2017-07-27,BBAS3.SA,-0.008668139670344188
2017-07-28,BBAS3.SA,-0.001049259721027651
2017-07-31,BBAS3.SA,0.004902139088427182
2017-08-01,BBAS3.SA,0.020905797863520315
2017-08-02,BBAS3.SA,0.040273174085594166
2017-08-03,BBAS3.SA,0.006561160582280845
2017-08-04,BBAS3.SA,0.006192941760013948
2017-08-07,BBAS3.SA,0.01554901434913214
2017-08-08,BBAS3.SA,0.0
2017-08-09,BBAS3.SA,-0.018500598368005883
2017-08-10,BBAS3.SA,0.004875121629961843
2017-08-11,BBAS3.SA,-0.0006470972619760929
2017-08-14,BBAS3.SA,0.006149076167721423
2017-08-15,BBAS3.SA,-0.004824829704090483
2017-08-16,BBAS3.SA,-0.008080255813135762
2017-08-17,BBAS3.SA,-0.017595364257798174
2017-08-18,BBAS3.SA,0.008955485878236802
2017-08-21,BBAS3.SA,0.013148898789821395
2017-08-22,BBAS3.SA,0.04488911835817011
2017-08-23,BBAS3.SA,0.0006246856546257007
2017-08-24,BBAS3.SA,0.0034365668443454567
2017-08-25,BBAS3.SA,-0.0037360931716794443
2017-08-28,BBAS3.SA,-0.00937455161031342
2017-08-29,BBAS3.SA,-0.00662459377828184
2017-08-30,BBAS3.SA,-0.010162085417405264
2017-08-31,BBAS3.SA,-0.015078501355052953
2017-09-01,BBAS3.SA,0.03876207031298362
2017-09-04,BBAS3.SA,-0.0015677048429397766
2017-09-05,BBAS3.SA,0.005024641976876687
2017-09-06,BBAS3.SA,0.02375025861564617
2017-09-08,BBAS3.SA,-0.003052462706223169
2017-09-11,BBAS3.SA,0.03582379233457922
2017-09-12,BBAS3.SA,-0.011071573620853092
2017-09-13,BBAS3.SA,0.006291269784616915
2017-09-14,BBAS3.SA,0.0008931782617083162
2017-09-15,BBAS3.SA,0.014574628521103472
2017-09-18,BBAS3.SA,0.013778681621836819
2017-09-19,BBAS3.SA,-0.0011564075399058682
2017-09-20,BBAS3.SA,0.006369417771205255
2017-09-21,BBAS3.SA,0.02186446312485235
2017-09-22,BBAS3.SA,-0.0061941731428619695
2017-09-25,BBAS3.SA,-0.014164396952341951
2017-09-26,BBAS3.SA,0.005747183882895968
2017-09-27,BBAS3.SA,-0.005142878439654663
2017-09-28,BBAS3.SA,-0.008328365031895713
2017-09-29,BBAS3.SA,0.010715580914618661
2017-10-02,BBAS3.SA,0.001432454136201411
2017-10-03,BBAS3.SA,0.040629099588226136
2017-10-04,BBAS3.SA,-0.004673707913483538
2017-10-05,BBAS3.SA,0.016298196467963377
2017-10-06,BBAS3.SA,0.005707953598885096
2017-10-09,BBAS3.SA,-0.011081016542507038
2017-10-10,BBAS3.SA,0.02131738526185023
2017-10-11,BBAS3.SA,0.0008025534267690482
2017-10-13,BBAS3.SA,0.0005343275452964757
2017-10-16,BBAS3.SA,0.0021383997530299848
2017-10-17,BBAS3.SA,0.0016000065302603783
2017-10-18,BBAS3.SA,-0.0034609731770179897
2017-10-19,BBAS3.SA,-0.006679361911977932
2017-10-20,BBAS3.SA,0.008875823237984859
2017-10-23,BBAS3.SA,-0.034923775828454295
2017-10-24,BBAS3.SA,0.0091159127102447
2017-10-25,BBAS3.SA,0.009033373088706886
2017-10-26,BBAS3.SA,-0.005425801562030652
2017-10-27,BBAS3.SA,-0.004364605844751734
2017-10-30,BBAS3.SA,-0.035341901442443535
2017-10-31,BBAS3.SA,-0.021869048692825355
2017-11-01,BBAS3.SA,-0.0127760270367695
2017-11-03,BBAS3.SA,-0.01794116524678313
2017-11-06,BBAS3.SA,-0.008086234555599314
2017-11-07,BBAS3.SA,-0.05012062815492957
2017-11-08,BBAS3.SA,0.05244770399560372
2017-11-09,BBAS3.SA,-0.02567211746931275
2017-11-10,BBAS3.SA,-0.0297585467431285
2017-11-13,BBAS3.SA,0.001597654639432955
2017-11-14,BBAS3.SA,-0.023923708297947543
2017-11-16,BBAS3.SA,0.0473859582273497
2017-11-17,BBAS3.SA,0.016848849834444124
2017-11-21,BBAS3.SA,0.017183179589469466
2017-11-22,BBAS3.SA,-0.005672066716222224
2017-11-23,BBAS3.SA,0.0012212983542283506
2017-11-24,BBAS3.SA,-0.005490983239726521
2017-11-27,BBAS3.SA,-0.013496960083972609
2017-11-28,BBAS3.SA,0.01492515987137244
2017-11-29,BBAS3.SA,-0.04534301933739404
2017-11-30,BBAS3.SA,-0.03947375424064459
2017-12-01,BBAS3.SA,0.028400234338700203
2017-12-04,BBAS3.SA,0.024366189578565844
2017-12-05,BBAS3.SA,-0.014589785758305496
2017-12-06,BBAS3.SA,0.030254236110145882
2017-12-07,BBAS3.SA,-0.03873761561369027
2017-12-08,BBAS3.SA,0.005849784600998165
